accession,window_index,anomaly,score,method,anomaly_type
GCF_021459925.1,0,0,1.0682189461403573,pitch_order,foreign_segment
GCF_021459925.1,1,0,1.6805661985254536,pitch_order,foreign_segment
GCF_021459925.1,2,0,1.161058142619956,pitch_order,foreign_segment
GCF_021459925.1,3,0,0.8410647699403219,pitch_order,foreign_segment
GCF_021459925.1,4,0,1.4151952102663998,pitch_order,foreign_segment
GCF_021459925.1,5,0,0.9590938726892829,pitch_order,foreign_segment
GCF_021459925.1,6,0,1.0585423582976186,pitch_order,foreign_segment
GCF_021459925.1,7,0,1.1543498059426058,pitch_order,foreign_segment
GCF_021459925.1,8,0,1.2971049949188647,pitch_order,foreign_segment
GCF_021459925.1,9,0,1.3281601033511128,pitch_order,foreign_segment
GCF_021459925.1,10,0,1.0932813379817283,pitch_order,foreign_segment
GCF_021459925.1,11,0,1.3846463660242112,pitch_order,foreign_segment
GCF_021459925.1,12,0,0.9089207796435801,pitch_order,foreign_segment
GCF_021459925.1,13,1,6.493484969164116,pitch_order,foreign_segment
GCF_021459925.1,14,0,1.3303032191984447,pitch_order,foreign_segment
GCF_021459925.1,15,0,0.8799284370235163,pitch_order,foreign_segment
GCF_021459925.1,16,1,6.174383983474047,pitch_order,foreign_segment
GCF_021459925.1,17,0,1.1164151923823724,pitch_order,foreign_segment
GCF_021459925.1,18,0,1.008748220652074,pitch_order,foreign_segment
GCF_021459925.1,19,0,1.0776771689713724,pitch_order,foreign_segment
GCF_021459925.1,20,0,1.0648578207116133,pitch_order,foreign_segment
GCF_021459925.1,21,0,1.1414580024503875,pitch_order,foreign_segment
GCF_021459925.1,22,1,6.961081697596611,pitch_order,foreign_segment
GCF_021459925.1,23,0,1.3064153607251179,pitch_order,foreign_segment
GCF_021459925.1,24,0,1.2611498930700404,pitch_order,foreign_segment
GCF_021459925.1,25,0,1.0976593223623698,pitch_order,foreign_segment
GCF_021459925.1,26,0,1.17068309099512,pitch_order,foreign_segment
GCF_021459925.1,27,0,0.9955311703455774,pitch_order,foreign_segment
GCF_021459925.1,28,0,0.9509072632017582,pitch_order,foreign_segment
GCF_021459925.1,29,1,7.614616180471729,pitch_order,foreign_segment
GCF_021459925.1,30,0,1.093518128480017,pitch_order,foreign_segment
GCF_021459925.1,31,0,1.0612622964180825,pitch_order,foreign_segment
GCF_021459925.1,32,0,1.1402473745702806,pitch_order,foreign_segment
GCF_021459925.1,33,0,1.4387841936445547,pitch_order,foreign_segment
GCF_021459925.1,34,0,1.2576475085754013,pitch_order,foreign_segment
GCF_021459925.1,35,0,1.0851334864242894,pitch_order,foreign_segment
GCF_021459925.1,36,0,1.0887309875452895,pitch_order,foreign_segment
GCF_021459925.1,37,0,1.1730076592070418,pitch_order,foreign_segment
GCF_021459925.1,38,0,1.0308022741585041,pitch_order,foreign_segment
GCF_021459925.1,39,0,1.293171029828532,pitch_order,foreign_segment
GCF_021459925.1,40,0,1.2650633015335966,pitch_order,foreign_segment
GCF_021459925.1,41,0,1.0132787029013246,pitch_order,foreign_segment
GCF_021459925.1,42,0,1.5707962476397483,pitch_order,foreign_segment
GCF_021459925.1,43,0,0.8816273435361786,pitch_order,foreign_segment
GCF_021459925.1,44,0,1.0855765250343228,pitch_order,foreign_segment
GCF_021459925.1,45,0,1.2366552966402555,pitch_order,foreign_segment
GCF_021459925.1,46,0,1.1055653500035558,pitch_order,foreign_segment
GCF_021459925.1,47,0,1.175645469801459,pitch_order,foreign_segment
GCF_021459925.1,48,0,1.1493170696615798,pitch_order,foreign_segment
GCF_021459925.1,49,0,0.9750017562472788,pitch_order,foreign_segment
GCF_021459925.1,50,0,1.053280435716951,pitch_order,foreign_segment
GCF_021459925.1,51,0,1.1413577560668418,pitch_order,foreign_segment
GCF_021459925.1,52,0,1.1894918558741097,pitch_order,foreign_segment
GCF_021459925.1,53,0,1.15010493579756,pitch_order,foreign_segment
GCF_021459925.1,54,0,2.1999913899732166,pitch_order,foreign_segment
GCF_021459925.1,55,0,1.1501903027187004,pitch_order,foreign_segment
GCF_021459925.1,56,0,1.6430451772446388,pitch_order,foreign_segment
GCF_021459925.1,57,0,1.1766651475060486,pitch_order,foreign_segment
GCF_021459925.1,58,0,1.2221192216265693,pitch_order,foreign_segment
GCF_021459925.1,59,0,1.1818193316739314,pitch_order,foreign_segment
